     stack_size (B/lane)        latency (c/read)        throughput (GB/s)
                      16                     36.0               532103.583
                      32                     36.0               528541.226
                      48                     36.8                  943.398
                      64                     36.8               527426.160
                      96                     37.0                  898.556
                     128                     36.5               519660.488
                     256                     36.7                 1458.050
                     512                     36.6                  308.641
                    1024                     37.0                  289.213
                    2048                     36.2                  293.417
                    4096                     36.9                  288.168
                    8192                     36.6                  293.103
                   12288                     36.2                  291.973
                   16384                     36.2                  292.797
                   32768                     36.2                  295.627
                   49152                     36.0                  292.954
                   65536                     36.1                  283.633
                   98304                     37.1                  291.487
                  131072                     36.2                  291.232
                  163840                     36.1                  289.211
                  196608                     36.1                  112.521
                  229376                     36.0                   49.735
                  262144                     36.7                   32.852
                  393216                     36.0                   17.538
                  491520                     36.4                   15.069
                  524288                      0.0            333333333.333
